"","Core20-80V20_G60"
"1",NA
"P Annualized Returns",17.676
"B Annualized Returns",14.967
"AR DIFF(P-B)",2.709
"P Volatility",21.68
"B Volatility",19.11
"V DIFF(P-B)",2.57
"P Tracking Error",6.52
"B Tracking Error",NA
"IR",NA
"P Information Ratio",0.42
"B Information Ratio",NA
"AS",NA
"P Alpha Stat",0.12
"B Alpha Stat",NA
"BS",NA
"P Beta Stat",1.09
"B Beta Stat",NA
"RS",NA
"P R-Squared",91.39
"B R-Squared",NA
"MD",NA
"P Max Drawdown",-38.6962
"B Max Drawdown",-38.0701
"MD DIFF(P-B)",-0.626100000000001
