"","NA","Var.2","Core20-80V20_G60","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"1",NA,"Annualized Returns",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",NA,"2012-01-04_to_2024-11-04_Core20-80V20_G60Portfolio_7QRank","29.69","18.582","11.371","22.718","16.133","19.055","17.749","20.455","21.159","20.277","22.04","21.32","23.105"
"3",NA,"2012-01-04_to_2024-11-04_^BSESN","24.412","14.41","9.92","18.999","14.627","14.693","13.097","14.267","12.993","11.083","12.91","12.816","13.393"
"4",NA,"Volatility",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",NA,"2012-01-04_to_2024-11-04_Core20-80V20_G60Portfolio_7QRank","16.9","15.1","17.36","16.67","21.81","21.03","20.87","20.56","20.58","19.93","19.17","18.99","18.63"
"6",NA,"2012-01-04_to_2024-11-04_^BSESN","12.84","11.27","12.38","13.1","18.81","17.64","17.37","16.59","16.52","16.23","15.85","15.62","15.57"
"7",NA,"Tracking Error",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",NA,"2012-01-04_to_2024-11-04_Core20-80V20_G60Portfolio_7QRank","6.41","5.76","7.42","6.92","7.38","8.31","9.38","10.39","10.15","9.88","9.63","9.47","9.29"
"9",NA,"2012-01-04_to_2024-11-04_^BSESN","-","-","-","-","-","-","-","-","-","-","-","-","-"
"10",NA,"Information Ratio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11",NA,"2012-01-04_to_2024-11-04_Core20-80V20_G60Portfolio_7QRank","0.82","0.72","0.2","0.54","0.2","0.52","0.5","0.6","0.8","0.93","0.95","0.9","1.05"
"12",NA,"2012-01-04_to_2024-11-04_^BSESN","-","-","-","-","-","-","-","-","-","-","-","-","-"
"13",NA,"Alpha Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",NA,"2012-01-04_to_2024-11-04_Core20-80V20_G60Portfolio_7QRank","-0.24","0.18","-0.21","-0.02","0.09","0.22","0.3","0.45","0.55","0.65","0.65","0.6","0.69"
"15",NA,"2012-01-04_to_2024-11-04_^BSESN","-","-","-","-","-","-","-","-","-","-","-","-","-"
"16",NA,"Beta Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,"2012-01-04_to_2024-11-04_Core20-80V20_G60Portfolio_7QRank","1.24","1.27","1.3","1.17","1.09","1.1","1.08","1.07","1.09","1.07","1.05","1.06","1.04"
"18",NA,"2012-01-04_to_2024-11-04_^BSESN","-","-","-","-","-","-","-","-","-","-","-","-","-"
"19",NA,"R-Squared",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",NA,"2012-01-04_to_2024-11-04_Core20-80V20_G60Portfolio_7QRank","87.78","88.87","85.99","84.19","89.04","84.89","79.97","74.52","75.93","75.5","74.7","75.18","75.06"
"21",NA,"2012-01-04_to_2024-11-04_^BSESN","-","-","-","-","-","-","-","-","-","-","-","-","-"
"22",NA,"Max Drawdown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23",NA,"2012-01-04_to_2024-11-04_Core20-80V20_G60Portfolio_7QRank","-11.1503","-12.3922","-24.765","-24.765","-38.4973","-38.4973","-38.4973","-38.4973","-38.4973","-38.4973","-38.4973","-38.4973","-38.4973"
"24",NA,"2012-01-04_to_2024-11-04_^BSESN","-7.5109","-9.0972","-16.2268","-16.8462","-38.0701","-38.0701","-38.0701","-38.0701","-38.0701","-38.0701","-38.0701","-38.0701","-38.0701"
